%eval_id         radius         height   lateral_area         volume 
1          0.7726495051    6.362244875    15.55686085    3.977443875 
2           2.161738542    7.826622527     55.1431693    38.30093166 
3           5.366212398    4.011556333    112.9501532    120.9698744 
4           1.581699481    17.06524675    85.16161178     44.7084007 
5             2.8076067    2.674486214     34.2015305    22.07707443 
6          0.3668241964    19.26006139    22.19955501    2.713952452 
7           4.026858297    1.097712083    52.80162281    18.64016521 
8           7.014473092    8.428562489    241.6438396    434.2824069 
9           3.045816357    5.320440041    58.66182182    51.68727073 
10          8.970979428    17.98698379    566.4816181    1515.886491 
11            5.9519942    13.30604734     272.563984    493.6312901 
12           9.76090188    2.461413954    308.6859817    245.5800993 
13          8.516393574    5.550440573     271.976985    421.5678883 
14          7.587596089    1.339359857    183.6627737    80.74847038 
15          9.459567998    11.38723645    439.9410335    1067.061777 
16          4.913790502    10.73668647    182.2769742    271.4764505 
17           8.05427388    15.72600515    447.0723455     1068.31621 
18          3.405260545    15.00693103    164.6245243    182.2305549 
19          2.370951185    10.47789775    80.01842035     61.6805161 
20          4.453289167    14.01166381    205.6917794    290.9913766 
21          6.606933634       13.45884    311.2004316    615.2280625 
22           5.06547255    9.113440379    165.9251399    244.8786414 
23          1.815299668   0.5638934495    10.84050547    1.945908092 
24          6.787746044    19.68478553    444.0196644    949.7525669 
25          6.021731083     18.0439612    359.8595117    685.1776947 
26          1.223061865    12.55946236    48.48628319    19.67417441 
27          9.074704756    16.11045083    527.1448326    1389.316905 
28          7.923119168    6.881419467    261.2151669    452.3754474 
29         0.0805544157    9.695005662    2.453591635  0.06588027279 
30          3.998669341    3.977683064    70.85266731    66.60238477 
